,total_vs_impval,direct_vs_impval,indirect_vs_impval
KHM,"{'correlation': np.float64(0.7918614275765098), 'p_value': np.float64(6.733141916450822e-08)}","{'correlation': np.float64(0.8291163007040199), 'p_value': np.float64(4.563480429790774e-09)}","{'correlation': np.float64(0.6279901043697044), 'p_value': np.float64(0.00011912548097960565)}"
KIR,"{'correlation': np.float64(0.41666666666666663), 'p_value': np.float64(0.26458604674749614)}","{'correlation': np.float64(0.43333333333333335), 'p_value': np.float64(0.2439524358800516)}","{'correlation': np.float64(0.016666666666666666), 'p_value': np.float64(0.9660548039946861)}"
KNA,"{'correlation': np.float64(0.40949096631663867), 'p_value': np.float64(0.08167627127396113)}","{'correlation': np.float64(0.4463978774438894), 'p_value': np.float64(0.05538112910465353)}","{'correlation': np.float64(0.07205635029606089), 'p_value': np.float64(0.7694118304118931)}"
KOR,"{'correlation': np.float64(0.37220763687299124), 'p_value': np.float64(0.013977790314428284)}","{'correlation': np.float64(0.4626221036514418), 'p_value': np.float64(0.0017869119611104891)}","{'correlation': np.float64(0.1396440189527554), 'p_value': np.float64(0.3717977393964509)}"
KWT,"{'correlation': np.float64(-0.09935678209918432), 'p_value': np.float64(0.6149470972565398)}","{'correlation': np.float64(0.2595838286308404), 'p_value': np.float64(0.18221538472404136)}","{'correlation': np.float64(-0.12782263702567237), 'p_value': np.float64(0.5168531701232812)}"
LAO,"{'correlation': np.float64(0.3681868743047831), 'p_value': np.float64(0.045295235344289315)}","{'correlation': np.float64(0.6387807359585324), 'p_value': np.float64(0.00014527151569207534)}","{'correlation': np.float64(-0.1599555061179088), 'p_value': np.float64(0.3984788134249605)}"
LBN,"{'correlation': np.float64(0.5742574643531602), 'p_value': np.float64(0.0005883806815119204)}","{'correlation': np.float64(0.6141994878841104), 'p_value': np.float64(0.0001845305844370731)}","{'correlation': np.float64(0.4272094163291389), 'p_value': np.float64(0.014740624449388645)}"
LBR,"{'correlation': np.float64(0.22187822497420018), 'p_value': np.float64(0.3762254210655622)}","{'correlation': np.float64(0.31698507063692316), 'p_value': np.float64(0.1999599366895788)}","{'correlation': np.float64(-0.029927760577915376), 'p_value': np.float64(0.9061604960497216)}"
LBY,"{'correlation': np.float64(-0.1936194790994454), 'p_value': np.float64(0.5071800042949806)}","{'correlation': np.float64(-0.11881195308375059), 'p_value': np.float64(0.6858124116007002)}","{'correlation': np.float64(-0.1936194790994454), 'p_value': np.float64(0.5071800042949806)}"
LCA,"{'correlation': np.float64(0.25), 'p_value': np.float64(0.3503914791072017)}","{'correlation': np.float64(0.34411764705882353), 'p_value': np.float64(0.19185563142554293)}","{'correlation': np.float64(-0.1647058823529412), 'p_value': np.float64(0.5421481352010777)}"
LIE,"{'correlation': np.float64(0.6114845368172768), 'p_value': np.float64(0.0007019717748590996)}","{'correlation': np.float64(0.6805266281283124), 'p_value': np.float64(9.380010671954385e-05)}","{'correlation': np.float64(0.3164325575138355), 'p_value': np.float64(0.10782176496257324)}"
LKA,"{'correlation': np.float64(0.5843016526628659), 'p_value': np.float64(0.00014641604992660163)}","{'correlation': np.float64(0.7085756198020476), 'p_value': np.float64(9.241375774340955e-07)}","{'correlation': np.float64(0.32297842975926266), 'p_value': np.float64(0.05120207898538194)}"
LSO,"{'correlation': np.float64(0.7619047619047621), 'p_value': np.float64(0.028004939153071794)}","{'correlation': np.float64(0.7619047619047621), 'p_value': np.float64(0.028004939153071794)}","{'correlation': np.float64(0.5714285714285715), 'p_value': np.float64(0.1389599571607067)}"
LTU,"{'correlation': np.float64(0.6632222249026581), 'p_value': np.float64(4.202006375462192e-06)}","{'correlation': np.float64(0.7362242261711807), 'p_value': np.float64(9.214640856048289e-08)}","{'correlation': np.float64(0.4976699616134825), 'p_value': np.float64(0.0012657730192343582)}"
LUX,"{'correlation': np.float64(0.2081040363535812), 'p_value': np.float64(0.23758643425591217)}","{'correlation': np.float64(0.38270894080331946), 'p_value': np.float64(0.025489362345902027)}","{'correlation': np.float64(0.01238532472052908), 'p_value': np.float64(0.944576102201266)}"
LVA,"{'correlation': np.float64(0.465727904837227), 'p_value': np.float64(0.002457486534647334)}","{'correlation': np.float64(0.5725166302478778), 'p_value': np.float64(0.00011327415135694637)}","{'correlation': np.float64(0.10948361633875134), 'p_value': np.float64(0.501262815413978)}"
MAC,"{'correlation': np.float64(0.6228056857785318), 'p_value': np.float64(0.0005212579488339655)}","{'correlation': np.float64(0.6234162795881186), 'p_value': np.float64(0.0005127899003853179)}","{'correlation': np.float64(0.38223172480133416), 'p_value': np.float64(0.049114554065397026)}"
MAR,"{'correlation': np.float64(0.40798463062055756), 'p_value': np.float64(0.013509159318666645)}","{'correlation': np.float64(0.5422780665493114), 'p_value': np.float64(0.0006344295902077676)}","{'correlation': np.float64(0.13470704660009575), 'p_value': np.float64(0.43345208147457837)}"
MCO,"{'correlation': np.float64(0.3727132897694107), 'p_value': np.float64(0.060762860846525824)}","{'correlation': np.float64(0.5621473838356984), 'p_value': np.float64(0.0027997474027369814)}","{'correlation': np.float64(0.06633612680299603), 'p_value': np.float64(0.7474765001694)}"
MDA,"{'correlation': np.float64(0.7796092796092796), 'p_value': np.float64(1.643858034385001e-06)}","{'correlation': np.float64(0.7997557997557997), 'p_value': np.float64(5.580540514565641e-07)}","{'correlation': np.float64(0.6159951159951159), 'p_value': np.float64(0.0006243177383784073)}"
MDG,"{'correlation': np.float64(0.3861538461538461), 'p_value': np.float64(0.05656854635871757)}","{'correlation': np.float64(0.604731690355542), 'p_value': np.float64(0.001363965440172489)}","{'correlation': np.float64(0.12923076923076923), 'p_value': np.float64(0.538116551492184)}"
MDV,"{'correlation': np.float64(0.17044761020998847), 'p_value': np.float64(0.5130754995466005)}","{'correlation': np.float64(0.3445739458201926), 'p_value': np.float64(0.175603638141344)}","{'correlation': np.float64(-0.07725323340452715), 'p_value': np.float64(0.7682217319860156)}"
MEX,"{'correlation': np.float64(0.504593493497937), 'p_value': np.float64(0.0005596600181696592)}","{'correlation': np.float64(0.5272712639038813), 'p_value': np.float64(0.0002801985950531065)}","{'correlation': np.float64(0.2950140562824318), 'p_value': np.float64(0.05479252182387635)}"
MHL,"{'correlation': np.float64(0.4781954887218045), 'p_value': np.float64(0.032950383214957614)}","{'correlation': np.float64(0.5806694656598149), 'p_value': np.float64(0.007262876191888261)}","{'correlation': np.float64(0.18496240601503755), 'p_value': np.float64(0.4349861436228526)}"
MKD,"{'correlation': np.float64(0.546442873893904), 'p_value': np.float64(0.0008273047762282426)}","{'correlation': np.float64(0.5826141198385092), 'p_value': np.float64(0.000299939288230434)}","{'correlation': np.float64(0.361897898840404), 'p_value': np.float64(0.035451915147839685)}"
MLI,"{'correlation': np.float64(0.3236374034731967), 'p_value': np.float64(0.14176048823408038)}","{'correlation': np.float64(0.38011862571982785), 'p_value': np.float64(0.08097928976617282)}","{'correlation': np.float64(-0.03558317001537765), 'p_value': np.float64(0.8750818660367887)}"
MLT,"{'correlation': np.float64(0.3828156826186842), 'p_value': np.float64(0.03353972375178291)}","{'correlation': np.float64(0.5539861549028523), 'p_value': np.float64(0.0012233262134092016)}","{'correlation': np.float64(0.13634531161761354), 'p_value': np.float64(0.46455417087883966)}"
MMR,"{'correlation': np.float64(0.7747259573482788), 'p_value': np.float64(8.099720496574221e-07)}","{'correlation': np.float64(0.8166585516247287), 'p_value': np.float64(6.56453706605512e-08)}","{'correlation': np.float64(0.31358541930186296), 'p_value': np.float64(0.09761818745417013)}"
MNE,"{'correlation': np.float64(0.4776923076923077), 'p_value': np.float64(0.015736283971364878)}","{'correlation': np.float64(0.4884615384615385), 'p_value': np.float64(0.01323170210075434)}","{'correlation': np.float64(0.17615384615384613), 'p_value': np.float64(0.39962412508987566)}"
MNG,"{'correlation': np.float64(0.22042436526083328), 'p_value': np.float64(0.26923766574173996)}","{'correlation': np.float64(0.5928865891087787), 'p_value': np.float64(0.0011179052513052405)}","{'correlation': np.float64(-0.12028698048859877), 'p_value': np.float64(0.5500865423735828)}"
MOZ,"{'correlation': np.float64(0.3217829376522414), 'p_value': np.float64(0.10167571813798)}","{'correlation': np.float64(0.458155247365592), 'p_value': np.float64(0.016248330860202446)}","{'correlation': np.float64(0.1630285471596745), 'p_value': np.float64(0.41650841203098066)}"
MRT,"{'correlation': np.float64(0.22868435911914178), 'p_value': np.float64(0.30599593936021585)}","{'correlation': np.float64(0.25578769057029926), 'p_value': np.float64(0.2505725286148971)}","{'correlation': np.float64(-0.32580463015245625), 'p_value': np.float64(0.13895890567395847)}"
MSR,"{'correlation': np.float64(0.24705882352941175), 'p_value': np.float64(0.35627504151257705)}","{'correlation': np.float64(0.3235294117647059), 'p_value': np.float64(0.2215741250012429)}","{'correlation': np.float64(0.22058823529411767), 'p_value': np.float64(0.4116664304979635)}"
MTQ,"{'correlation': np.float64(0.2087912087912088), 'p_value': np.float64(0.493621819356885)}","{'correlation': np.float64(0.17606619132183343), 'p_value': np.float64(0.5650364026691794)}","{'correlation': np.float64(0.1868131868131868), 'p_value': np.float64(0.5411235235098939)}"
MUS,"{'correlation': np.float64(0.49798387096774194), 'p_value': np.float64(0.004360578489817127)}","{'correlation': np.float64(0.5928016967317401), 'p_value': np.float64(0.00044120912801914533)}","{'correlation': np.float64(0.24032258064516132), 'p_value': np.float64(0.19282897307843058)}"
MWI,"{'correlation': np.float64(0.4705882352941176), 'p_value': np.float64(0.06581947250108118)}","{'correlation': np.float64(0.5235294117647059), 'p_value': np.float64(0.03741264813014936)}","{'correlation': np.float64(0.3205882352941176), 'p_value': np.float64(0.22604542220798243)}"
MYS,"{'correlation': np.float64(0.5637561170650627), 'p_value': np.float64(0.00015180195710527177)}","{'correlation': np.float64(0.6920375811218807), 'p_value': np.float64(7.571360678837032e-07)}","{'correlation': np.float64(0.13446015317074778), 'p_value': np.float64(0.4081233734592856)}"
MYT,"{'correlation': np.float64(0.3944077594625243), 'p_value': np.float64(0.13060411263391705)}","{'correlation': np.float64(0.4365800705746571), 'p_value': np.float64(0.09088758122891218)}","{'correlation': np.float64(0.3944077594625243), 'p_value': np.float64(0.13060411263391705)}"
NAM,"{'correlation': np.float64(0.4202608058355842), 'p_value': np.float64(0.014888379240138132)}","{'correlation': np.float64(0.683893866831139), 'p_value': np.float64(1.1458611671143007e-05)}","{'correlation': np.float64(0.2092945620151756), 'p_value': np.float64(0.24242431215713214)}"
NCL,"{'correlation': np.float64(0.42970073404856013), 'p_value': np.float64(0.045946566581951453)}","{'correlation': np.float64(0.6792772444946359), 'p_value': np.float64(0.0005078261231138768)}","{'correlation': np.float64(0.25578769057029926), 'p_value': np.float64(0.2505725286148971)}"
NER,"{'correlation': np.float64(0.23840153500933758), 'p_value': np.float64(0.22182200856169115)}","{'correlation': np.float64(0.3165389302713623), 'p_value': np.float64(0.10077385658082152)}","{'correlation': np.float64(-0.09826194152508862), 'p_value': np.float64(0.6188687631943897)}"
NFK,"{'correlation': np.float64(0.08571428571428573), 'p_value': np.float64(0.8717434402332361)}","{'correlation': np.float64(0.20291986247835697), 'p_value': np.float64(0.6997979681570189)}","{'correlation': np.float64(-0.2571428571428572), 'p_value': np.float64(0.6227871720116618)}"
NGA,"{'correlation': np.float64(0.3318738614612301), 'p_value': np.float64(0.04799488851507438)}","{'correlation': np.float64(0.354124005377292), 'p_value': np.float64(0.034093425241924914)}","{'correlation': np.float64(0.2633612909151011), 'p_value': np.float64(0.1206759661449836)}"
NIC,"{'correlation': np.float64(0.5717151773896969), 'p_value': np.float64(0.000509652720060486)}","{'correlation': np.float64(0.6531646244947306), 'p_value': np.float64(3.778297931683286e-05)}","{'correlation': np.float64(0.4169174422251181), 'p_value': np.float64(0.015790496940897406)}"
NIU,"{'correlation': np.float64(0.5166666666666667), 'p_value': np.float64(0.1543901209862251)}","{'correlation': np.float64(0.48333333333333334), 'p_value': np.float64(0.18746985521554207)}","{'correlation': np.float64(0.45), 'p_value': np.float64(0.22421610749233659)}"
NLD,"{'correlation': np.float64(0.47102449273181707), 'p_value': np.float64(0.0014328865031750316)}","{'correlation': np.float64(0.566435895965766), 'p_value': np.float64(7.511705344579658e-05)}","{'correlation': np.float64(0.26522534839537953), 'p_value': np.float64(0.08563538695334705)}"
NOR,"{'correlation': np.float64(0.3436253825222602), 'p_value': np.float64(0.032208025524373504)}","{'correlation': np.float64(0.39322123892229577), 'p_value': np.float64(0.013270053518687304)}","{'correlation': np.float64(0.07675550739727087), 'p_value': np.float64(0.642340642984732)}"
NPL,"{'correlation': np.float64(0.6121202941107627), 'p_value': np.float64(0.0006905415178996301)}","{'correlation': np.float64(0.7714852784129165), 'p_value': np.float64(2.4636568123873713e-06)}","{'correlation': np.float64(0.4954968764796848), 'p_value': np.float64(0.008586165287680572)}"
NRU,"{'correlation': np.float64(0.21135766820001037), 'p_value': np.float64(0.37104153759929603)}","{'correlation': np.float64(0.25347876933595553), 'p_value': np.float64(0.2808843515051914)}","{'correlation': np.float64(0.017299737966548896), 'p_value': np.float64(0.9422913998800765)}"
NZL,"{'correlation': np.float64(0.561297147259506), 'p_value': np.float64(0.00020124396813200475)}","{'correlation': np.float64(0.556959051695124), 'p_value': np.float64(0.00023086141729830814)}","{'correlation': np.float64(0.32928081743563076), 'p_value': np.float64(0.040664893979373166)}"
OMN,"{'correlation': np.float64(0.38892791609999267), 'p_value': np.float64(0.020937151505407894)}","{'correlation': np.float64(0.4875180110493075), 'p_value': np.float64(0.0029729728692829897)}","{'correlation': np.float64(0.26054666523599507), 'p_value': np.float64(0.1306149038312376)}"
PAK,"{'correlation': np.float64(0.5825434709916147), 'p_value': np.float64(8.018897558236283e-05)}","{'correlation': np.float64(0.6638500579030634), 'p_value': np.float64(3.0168080474936323e-06)}","{'correlation': np.float64(0.4453308796286792), 'p_value': np.float64(0.003982083390720924)}"
PAN,"{'correlation': np.float64(0.498126646130643), 'p_value': np.float64(0.0012507235845447262)}","{'correlation': np.float64(0.5711542578187937), 'p_value': np.float64(0.00014625913265071215)}","{'correlation': np.float64(0.3063291531907288), 'p_value': np.float64(0.05787242674030728)}"
PCN,"{'correlation': np.float64(0.9999999999999999), 'p_value': np.float64(nan)}","{'correlation': np.float64(0.9999999999999999), 'p_value': np.float64(nan)}","{'correlation': np.float64(0.9999999999999999), 'p_value': np.float64(nan)}"
PER,"{'correlation': np.float64(0.5237965276430754), 'p_value': np.float64(0.00037094500310151164)}","{'correlation': np.float64(0.5923280329971043), 'p_value': np.float64(3.5896429231931014e-05)}","{'correlation': np.float64(0.3253137535741424), 'p_value': np.float64(0.03553508261626134)}"
PHL,"{'correlation': np.float64(0.6467608484916975), 'p_value': np.float64(6.512023956245292e-06)}","{'correlation': np.float64(0.7793292189850481), 'p_value': np.float64(3.13850579555623e-09)}","{'correlation': np.float64(0.23211277837855343), 'p_value': np.float64(0.14952035969365063)}"
PLW,"{'correlation': np.float64(-0.14285714285714288), 'p_value': np.float64(0.735764859879812)}","{'correlation': np.float64(-0.14285714285714288), 'p_value': np.float64(0.735764859879812)}","{'correlation': np.float64(-0.023809523809523815), 'p_value': np.float64(0.9553740118158807)}"
PNG,"{'correlation': np.float64(0.38947368421052625), 'p_value': np.float64(0.08961904769837144)}","{'correlation': np.float64(0.3873636979466383), 'p_value': np.float64(0.09152287113529009)}","{'correlation': np.float64(0.13383458646616542), 'p_value': np.float64(0.5737559530736434)}"
POL,"{'correlation': np.float64(0.5554434131242217), 'p_value': np.float64(0.0001343998440347751)}","{'correlation': np.float64(0.5820692382796833), 'p_value': np.float64(5.266156993817589e-05)}","{'correlation': np.float64(0.32060729368207447), 'p_value': np.float64(0.038446210665791666)}"
PRT,"{'correlation': np.float64(0.6179601302363574), 'p_value': np.float64(1.670628902631339e-05)}","{'correlation': np.float64(0.7106660408842618), 'p_value': np.float64(1.9324998623425963e-07)}","{'correlation': np.float64(0.4341762766051156), 'p_value': np.float64(0.004564321532670956)}"
PRY,"{'correlation': np.float64(0.40949500676063033), 'p_value': np.float64(0.019944137889981964)}","{'correlation': np.float64(0.5569622596225087), 'p_value': np.float64(0.0009297262230195262)}","{'correlation': np.float64(0.2844835499071165), 'p_value': np.float64(0.11455165708396435)}"
PYF,"{'correlation': np.float64(0.12650604306692856), 'p_value': np.float64(0.5212157147785392)}","{'correlation': np.float64(0.34392119067545945), 'p_value': np.float64(0.07313196327929931)}","{'correlation': np.float64(-0.1259583978588466), 'p_value': np.float64(0.5230355779986382)}"
QAT,"{'correlation': np.float64(0.26579226448344495), 'p_value': np.float64(0.1484021546225082)}","{'correlation': np.float64(0.43798069172765763), 'p_value': np.float64(0.013728466576428528)}","{'correlation': np.float64(0.22341081001000268), 'p_value': np.float64(0.22699946076608157)}"
REU,"{'correlation': np.float64(0.24715668167831292), 'p_value': np.float64(0.32277573334118626)}","{'correlation': np.float64(0.5284395997389871), 'p_value': np.float64(0.024165338769488485)}","{'correlation': np.float64(-0.027921466131022803), 'p_value': np.float64(0.9124276127052705)}"
ROU,"{'correlation': np.float64(0.4828719442970609), 'p_value': np.float64(0.0016002421968829134)}","{'correlation': np.float64(0.6339908898106766), 'p_value': np.float64(1.1227093516169171e-05)}","{'correlation': np.float64(0.17803849918980072), 'p_value': np.float64(0.27171640951941894)}"
RUS,"{'correlation': np.float64(0.20698239619075728), 'p_value': np.float64(0.2190059657031397)}","{'correlation': np.float64(0.5259663415609726), 'p_value': np.float64(0.0008275831639980656)}","{'correlation': np.float64(0.027977002005165355), 'p_value': np.float64(0.869441018705609)}"
RWA,"{'correlation': np.float64(0.41600790513833996), 'p_value': np.float64(0.04833795329894627)}","{'correlation': np.float64(0.5006177568199845), 'p_value': np.float64(0.014973345240627916)}","{'correlation': np.float64(0.1324110671936759), 'p_value': np.float64(0.546994503861721)}"
SAU,"{'correlation': np.float64(0.12093902044966699), 'p_value': np.float64(0.4572601001224402)}","{'correlation': np.float64(0.31847364015127505), 'p_value': np.float64(0.0451964718331301)}","{'correlation': np.float64(0.055211291944413196), 'p_value': np.float64(0.7350825549521791)}"
SDN,"{'correlation': np.float64(0.9999999999999999), 'p_value': np.float64(nan)}","{'correlation': np.float64(0.9999999999999999), 'p_value': np.float64(nan)}","{'correlation': np.float64(0.9999999999999999), 'p_value': np.float64(nan)}"
SEN,"{'correlation': np.float64(0.41216810411676996), 'p_value': np.float64(0.029295735594515336)}","{'correlation': np.float64(0.5426149243026626), 'p_value': np.float64(0.0028518551378417267)}","{'correlation': np.float64(0.2411621885789611), 'p_value': np.float64(0.21635604120171914)}"
SGP,"{'correlation': np.float64(0.42834354786623635), 'p_value': np.float64(0.005824870860509852)}","{'correlation': np.float64(0.587042512306924), 'p_value': np.float64(6.842107861726408e-05)}","{'correlation': np.float64(0.059502587499385154), 'p_value': np.float64(0.7153222868034049)}"
SHN,"{'correlation': np.float64(-0.0947274730356128), 'p_value': np.float64(0.7370171856967316)}","{'correlation': np.float64(0.1876676352592329), 'p_value': np.float64(0.5030056180461895)}","{'correlation': np.float64(-0.3735479597064731), 'p_value': np.float64(0.17021949847976173)}"
SJM,"{'correlation': np.float64(0.3714285714285715), 'p_value': np.float64(0.46847813411078715)}","{'correlation': np.float64(0.6), 'p_value': np.float64(0.20799999999999982)}","{'correlation': np.float64(0.08571428571428573), 'p_value': np.float64(0.8717434402332361)}"
SLB,"{'correlation': np.float64(0.6373626373626374), 'p_value': np.float64(0.0191181137774633)}","{'correlation': np.float64(0.6428571428571429), 'p_value': np.float64(0.017792450692375696)}","{'correlation': np.float64(0.25274725274725274), 'p_value': np.float64(0.40477407127094656)}"
SLE,"{'correlation': np.float64(0.2403079471187047), 'p_value': np.float64(0.18523301229444789)}","{'correlation': np.float64(0.4918365672094683), 'p_value': np.float64(0.004249000068601989)}","{'correlation': np.float64(0.04050957766074275), 'p_value': np.float64(0.8257701262010991)}"
SLV,"{'correlation': np.float64(0.5786074876102552), 'p_value': np.float64(0.00014166868933392524)}","{'correlation': np.float64(0.6390408077349795), 'p_value': np.float64(1.5733608503698997e-05)}","{'correlation': np.float64(0.4588351902695514), 'p_value': np.float64(0.0037623115520606255)}"
SMR,"{'correlation': np.float64(0.4662435169916774), 'p_value': np.float64(0.018812346489537633)}","{'correlation': np.float64(0.4672826634815117), 'p_value': np.float64(0.018514353708540807)}","{'correlation': np.float64(0.23773803094130086), 'p_value': np.float64(0.2524849711597998)}"
SOM,"{'correlation': np.float64(0.5335397316821465), 'p_value': np.float64(0.022588029798321373)}","{'correlation': np.float64(0.5706914344685242), 'p_value': np.float64(0.013384281348823359)}","{'correlation': np.float64(0.23013415892672856), 'p_value': np.float64(0.35825371050744326)}"
SRB,"{'correlation': np.float64(0.6093853322295076), 'p_value': np.float64(3.000821294313434e-05)}","{'correlation': np.float64(0.6969017156657054), 'p_value': np.float64(5.871239201530861e-07)}","{'correlation': np.float64(0.40741440431361353), 'p_value': np.float64(0.0090728019483764)}"
SSD,"{'correlation': np.float64(-0.07142857142857144), 'p_value': np.float64(0.8790481931481541)}","{'correlation': np.float64(-0.07142857142857144), 'p_value': np.float64(0.8790481931481541)}","{'correlation': np.float64(-0.7857142857142859), 'p_value': np.float64(0.03623846267982713)}"
STP,"{'correlation': np.float64(0.0608875128998968), 'p_value': np.float64(0.8103299008966292)}","{'correlation': np.float64(0.12693498452012383), 'p_value': np.float64(0.6157269826949078)}","{'correlation': np.float64(-0.36016511867905054), 'p_value': np.float64(0.1420624863236748)}"
SUR,"{'correlation': np.float64(0.3659744619152486), 'p_value': np.float64(0.08589911385669083)}","{'correlation': np.float64(0.5479725727055342), 'p_value': np.float64(0.006791383883957012)}","{'correlation': np.float64(0.09198817556248137), 'p_value': np.float64(0.6763530177399035)}"
SVK,"{'correlation': np.float64(0.4585317043463207), 'p_value': np.float64(0.0033274647317020145)}","{'correlation': np.float64(0.5862211722100183), 'p_value': np.float64(8.801476954108725e-05)}","{'correlation': np.float64(0.08951899881672869), 'p_value': np.float64(0.587854862360363)}"
SVN,"{'correlation': np.float64(0.47887022721045525), 'p_value': np.float64(0.002354054169377718)}","{'correlation': np.float64(0.5300693288659987), 'p_value': np.float64(0.0006197792828920025)}","{'correlation': np.float64(0.29888333797086025), 'p_value': np.float64(0.06833184900617531)}"
SWE,"{'correlation': np.float64(0.35582459701237573), 'p_value': np.float64(0.020740343379190583)}","{'correlation': np.float64(0.41687754989390463), 'p_value': np.float64(0.006025129910435926)}","{'correlation': np.float64(0.1318620228381096), 'p_value': np.float64(0.40517317479799275)}"
SWZ,"{'correlation': np.float64(0.4111126355729335), 'p_value': np.float64(0.029753985531360064)}","{'correlation': np.float64(0.5449069820415321), 'p_value': np.float64(0.0027142058005152265)}","{'correlation': np.float64(0.15382510066044514), 'p_value': np.float64(0.43449441767429087)}"
SXM,"{'correlation': np.float64(0.19117647058823528), 'p_value': np.float64(0.47816401281702825)}","{'correlation': np.float64(0.2088235294117647), 'p_value': np.float64(0.43765851094980035)}","{'correlation': np.float64(0.032352941176470584), 'p_value': np.float64(0.9053195187918449)}"
SYC,"{'correlation': np.float64(0.0914995800395425), 'p_value': np.float64(0.6854989460170051)}","{'correlation': np.float64(0.17961028674428717), 'p_value': np.float64(0.42382225364685466)}","{'correlation': np.float64(-0.31064672235647156), 'p_value': np.float64(0.15939549393796526)}"
SYR,"{'correlation': np.float64(0.2964912280701754), 'p_value': np.float64(0.21773024394667423)}","{'correlation': np.float64(0.2764370603987563), 'p_value': np.float64(0.2519365813463578)}","{'correlation': np.float64(0.2), 'p_value': np.float64(0.41168101338159957)}"
TCA,"{'correlation': np.float64(0.14918825481837641), 'p_value': np.float64(0.5421429117577898)}","{'correlation': np.float64(0.21412902456284613), 'p_value': np.float64(0.37870997923938676)}","{'correlation': np.float64(-0.07196139350062863), 'p_value': np.float64(0.769707886558922)}"
TCD,"{'correlation': np.float64(-0.15489789617658978), 'p_value': np.float64(0.6492801259562868)}","{'correlation': np.float64(0.13762047064079508), 'p_value': np.float64(0.6865705841503718)}","{'correlation': np.float64(-0.5102518932875899), 'p_value': np.float64(0.10879394857540128)}"
TGO,"{'correlation': np.float64(0.6764705882352942), 'p_value': np.float64(0.0028650638653291475)}","{'correlation': np.float64(0.6646230556389479), 'p_value': np.float64(0.0036082539354311597)}","{'correlation': np.float64(0.5710784313725491), 'p_value': np.float64(0.01664638164963715)}"
THA,"{'correlation': np.float64(0.5532696087020209), 'p_value': np.float64(0.00017556065094837358)}","{'correlation': np.float64(0.6666092828868947), 'p_value': np.float64(1.953009270822588e-06)}","{'correlation': np.float64(0.14664347334333425), 'p_value': np.float64(0.360245366895828)}"
TJK,"{'correlation': np.float64(0.21428571428571427), 'p_value': np.float64(0.44314093482351424)}","{'correlation': np.float64(0.15192141901937903), 'p_value': np.float64(0.5888535335291114)}","{'correlation': np.float64(0.08928571428571427), 'p_value': np.float64(0.751672517350277)}"
TKL,"{'correlation': np.float64(-0.9999999999999999), 'p_value': np.float64(nan)}","{'correlation': np.float64(-0.9999999999999999), 'p_value': np.float64(nan)}","{'correlation': np.float64(-0.9999999999999999), 'p_value': np.float64(nan)}"
TKM,"{'correlation': np.float64(0.13186813186813187), 'p_value': np.float64(0.6676075762175147)}","{'correlation': np.float64(0.26373626373626374), 'p_value': np.float64(0.3839365166506743)}","{'correlation': np.float64(-0.13186813186813187), 'p_value': np.float64(0.6676075762175147)}"
TLS,"{'correlation': np.float64(0.713760310967628), 'p_value': np.float64(0.0019010627547399602)}","{'correlation': np.float64(0.6666668471512072), 'p_value': np.float64(0.004795903546578493)}","{'correlation': np.float64(0.410596137649419), 'p_value': np.float64(0.11416183875513763)}"
TON,"{'correlation': np.float64(0.40649350649350646), 'p_value': np.float64(0.0674581843118006)}","{'correlation': np.float64(0.5818181818181818), 'p_value': np.float64(0.005660702226084469)}","{'correlation': np.float64(-0.04155844155844156), 'p_value': np.float64(0.8580477762660439)}"
TTO,"{'correlation': np.float64(0.15042699867104836), 'p_value': np.float64(0.36734248783393475)}","{'correlation': np.float64(0.4696604598278697), 'p_value': np.float64(0.0029304230583352465)}","{'correlation': np.float64(0.07269543458338873), 'p_value': np.float64(0.6644846876641837)}"
TUN,"{'correlation': np.float64(0.45030897476049053), 'p_value': np.float64(0.0058535917319599605)}","{'correlation': np.float64(0.6435572353909012), 'p_value': np.float64(2.2954886483476843e-05)}","{'correlation': np.float64(0.20211123223955693), 'p_value': np.float64(0.23715892198704194)}"
TUR,"{'correlation': np.float64(0.46043967267042796), 'p_value': np.float64(0.0018906778525580453)}","{'correlation': np.float64(0.5267868965687501), 'p_value': np.float64(0.0002845153367468641)}","{'correlation': np.float64(0.30620372320447176), 'p_value': np.float64(0.0458251705404656)}"
TUV,"{'correlation': np.float64(0.5333333333333333), 'p_value': np.float64(0.13922686754397814)}","{'correlation': np.float64(0.5666666666666667), 'p_value': np.float64(0.11163298761149111)}","{'correlation': np.float64(0.4666666666666666), 'p_value': np.float64(0.20538635110581185)}"
TWN,"{'correlation': np.float64(0.5505746615117376), 'p_value': np.float64(0.00015816847846815904)}","{'correlation': np.float64(0.6600358168688413), 'p_value': np.float64(1.982023720718737e-06)}","{'correlation': np.float64(0.25065956218272034), 'p_value': np.float64(0.10935155052005274)}"
TZA,"{'correlation': np.float64(0.5828117912505967), 'p_value': np.float64(0.0014219291166949052)}","{'correlation': np.float64(0.6707392821432268), 'p_value': np.float64(0.00012874887960169905)}","{'correlation': np.float64(0.40512899266083907), 'p_value': np.float64(0.03605185930678103)}"
UGA,"{'correlation': np.float64(0.31577154158738413), 'p_value': np.float64(0.11607765215448806)}","{'correlation': np.float64(0.5198637758376291), 'p_value': np.float64(0.006486877897475871)}","{'correlation': np.float64(0.12692442245820096), 'p_value': np.float64(0.536662616052916)}"
