,total_vs_impval,direct_vs_impval,indirect_vs_impval
KHM,"{'correlation': np.float64(0.8512096774193548), 'p_value': np.float64(1.2948481304788715e-09)}","{'correlation': np.float64(0.8879927457165251), 'p_value': np.float64(2.6976022271292617e-11)}","{'correlation': np.float64(0.6794354838709677), 'p_value': np.float64(2.632619825057433e-05)}"
KIR,"{'correlation': np.float64(0.8571428571428572), 'p_value': np.float64(0.006530017254715292)}","{'correlation': np.float64(0.880952380952381), 'p_value': np.float64(0.0038503204637324014)}","{'correlation': np.float64(0.38095238095238104), 'p_value': np.float64(0.35181255311756476)}"
KNA,"{'correlation': np.float64(0.5844089575912004), 'p_value': np.float64(0.010865674782946285)}","{'correlation': np.float64(0.6236448946732951), 'p_value': np.float64(0.005681898419577097)}","{'correlation': np.float64(0.2044398826909146), 'p_value': np.float64(0.41579141308263934)}"
KOR,"{'correlation': np.float64(0.3771677917959199), 'p_value': np.float64(0.01506143571755765)}","{'correlation': np.float64(0.4793375840913506), 'p_value': np.float64(0.0015198000724715686)}","{'correlation': np.float64(0.11938998954722974), 'p_value': np.float64(0.4571833118531683)}"
KWT,"{'correlation': np.float64(0.08854700854700855), 'p_value': np.float64(0.66709078570047)}","{'correlation': np.float64(0.5124786324786325), 'p_value': np.float64(0.007432912255284378)}","{'correlation': np.float64(0.05299145299145299), 'p_value': np.float64(0.7971047301741516)}"
LAO,"{'correlation': np.float64(0.43054187192118215), 'p_value': np.float64(0.019729654060345034)}","{'correlation': np.float64(0.7231527093596057), 'p_value': np.float64(9.350594793352638e-06)}","{'correlation': np.float64(-0.12906403940886696), 'p_value': np.float64(0.5046073524589316)}"
LBN,"{'correlation': np.float64(0.6718419229626388), 'p_value': np.float64(3.4960040406128175e-05)}","{'correlation': np.float64(0.7127874722731454), 'p_value': np.float64(6.823269700154766e-06)}","{'correlation': np.float64(0.5186006680251821), 'p_value': np.float64(0.0027996952661935325)}"
LBR,"{'correlation': np.float64(0.3602941176470589), 'p_value': np.float64(0.1554270402545691)}","{'correlation': np.float64(0.46813725490196084), 'p_value': np.float64(0.0580719248958362)}","{'correlation': np.float64(0.10294117647058824), 'p_value': np.float64(0.6942047830993174)}"
LBY,"{'correlation': np.float64(0.2797202797202798), 'p_value': np.float64(0.37856866966230307)}","{'correlation': np.float64(0.2937062937062937), 'p_value': np.float64(0.35414764123292175)}","{'correlation': np.float64(0.2797202797202798), 'p_value': np.float64(0.37856866966230307)}"
LCA,"{'correlation': np.float64(0.5178571428571428), 'p_value': np.float64(0.04800407736655833)}","{'correlation': np.float64(0.6321428571428571), 'p_value': np.float64(0.011457541540078888)}","{'correlation': np.float64(0.0), 'p_value': np.float64(1.0)}"
LIE,"{'correlation': np.float64(0.6739613707665215), 'p_value': np.float64(0.0001601664291311658)}","{'correlation': np.float64(0.7447829317830283), 'p_value': np.float64(1.2779908638278636e-05)}","{'correlation': np.float64(0.364164819820571), 'p_value': np.float64(0.06740842014955394)}"
LKA,"{'correlation': np.float64(0.6359482605356184), 'p_value': np.float64(3.069949477305102e-05)}","{'correlation': np.float64(0.7667353498208925), 'p_value': np.float64(4.961451473089856e-08)}","{'correlation': np.float64(0.3648883462089613), 'p_value': np.float64(0.028659944460726866)}"
LSO,"{'correlation': np.float64(0.9285714285714288), 'p_value': np.float64(0.0025194724037946874)}","{'correlation': np.float64(0.9285714285714288), 'p_value': np.float64(0.0025194724037946874)}","{'correlation': np.float64(0.7142857142857144), 'p_value': np.float64(0.07134356146753759)}"
LTU,"{'correlation': np.float64(0.7174294922062445), 'p_value': np.float64(4.0076526736458113e-07)}","{'correlation': np.float64(0.79231069553374), 'p_value': np.float64(3.091913417517295e-09)}","{'correlation': np.float64(0.544887316146876), 'p_value': np.float64(0.0004044322971625299)}"
LUX,"{'correlation': np.float64(0.3146105157448566), 'p_value': np.float64(0.07455292961076694)}","{'correlation': np.float64(0.5044323556768685), 'p_value': np.float64(0.0027585223419845746)}","{'correlation': np.float64(0.10063524467502852), 'p_value': np.float64(0.577368580639879)}"
LVA,"{'correlation': np.float64(0.5458228547762076), 'p_value': np.float64(0.000325630878116271)}","{'correlation': np.float64(0.65653529137935), 'p_value': np.float64(5.662455919736079e-06)}","{'correlation': np.float64(0.16405065394015889), 'p_value': np.float64(0.31830578300148094)}"
MAC,"{'correlation': np.float64(0.7921367521367522), 'p_value': np.float64(1.4218535892024826e-06)}","{'correlation': np.float64(0.7928205128205127), 'p_value': np.float64(1.3719503776751967e-06)}","{'correlation': np.float64(0.5261538461538461), 'p_value': np.float64(0.0057630077574212036)}"
MAR,"{'correlation': np.float64(0.45811153381318515), 'p_value': np.float64(0.005649966021296717)}","{'correlation': np.float64(0.5994395797539529), 'p_value': np.float64(0.00014164340919590234)}","{'correlation': np.float64(0.17567946893019395), 'p_value': np.float64(0.31275092716804753)}"
MCO,"{'correlation': np.float64(0.5176923076923077), 'p_value': np.float64(0.008036274163803127)}","{'correlation': np.float64(0.7307692307692306), 'p_value': np.float64(3.347036201046326e-05)}","{'correlation': np.float64(0.17384615384615384), 'p_value': np.float64(0.4059253647566914)}"
MDA,"{'correlation': np.float64(0.8618803418803418), 'p_value': np.float64(1.544316136980408e-08)}","{'correlation': np.float64(0.8837606837606837), 'p_value': np.float64(2.1925524634232332e-09)}","{'correlation': np.float64(0.6923076923076923), 'p_value': np.float64(8.902307414181178e-05)}"
MDG,"{'correlation': np.float64(0.4765217391304347), 'p_value': np.float64(0.018565115014353994)}","{'correlation': np.float64(0.7086956521739128), 'p_value': np.float64(0.00010616350972290819)}","{'correlation': np.float64(0.19826086956521738), 'p_value': np.float64(0.35304943524240395)}"
MDV,"{'correlation': np.float64(0.3411764705882353), 'p_value': np.float64(0.1959326248678891)}","{'correlation': np.float64(0.5470588235294118), 'p_value': np.float64(0.028301087242108842)}","{'correlation': np.float64(0.06764705882352941), 'p_value': np.float64(0.8034203137966691)}"
MEX,"{'correlation': np.float64(0.5944227143807693), 'p_value': np.float64(4.1693415649954114e-05)}","{'correlation': np.float64(0.6138284143949995), 'p_value': np.float64(1.972049877092633e-05)}","{'correlation': np.float64(0.37010896759641215), 'p_value': np.float64(0.017226681782530066)}"
MHL,"{'correlation': np.float64(0.6596491228070176), 'p_value': np.float64(0.002120531147203927)}","{'correlation': np.float64(0.7719298245614035), 'p_value': np.float64(0.00010807079839875924)}","{'correlation': np.float64(0.34210526315789475), 'p_value': np.float64(0.1516719606843406)}"
MKD,"{'correlation': np.float64(0.6191673012983313), 'p_value': np.float64(0.00012223284770988303)}","{'correlation': np.float64(0.6545037626279848), 'p_value': np.float64(3.596859219785144e-05)}","{'correlation': np.float64(0.4224788230901093), 'p_value': np.float64(0.014314040990147279)}"
MLI,"{'correlation': np.float64(0.4688311688311688), 'p_value': np.float64(0.03204495811634262)}","{'correlation': np.float64(0.5324675324675324), 'p_value': np.float64(0.01295751978995037)}","{'correlation': np.float64(0.0935064935064935), 'p_value': np.float64(0.6868397848627377)}"
MLT,"{'correlation': np.float64(0.4992768970710367), 'p_value': np.float64(0.004972270775226645)}","{'correlation': np.float64(0.6821723355575516), 'p_value': np.float64(3.2968777312692965e-05)}","{'correlation': np.float64(0.2318389156631106), 'p_value': np.float64(0.2176663772482671)}"
MMR,"{'correlation': np.float64(0.8029556650246306), 'p_value': np.float64(2.7197882585773495e-07)}","{'correlation': np.float64(0.8476803144935917), 'p_value': np.float64(1.2535260683552195e-08)}","{'correlation': np.float64(0.3158182813355227), 'p_value': np.float64(0.10159433299553895)}"
MNE,"{'correlation': np.float64(0.6373913043478261), 'p_value': np.float64(0.0008079747421695984)}","{'correlation': np.float64(0.6478260869565217), 'p_value': np.float64(0.000619928547036129)}","{'correlation': np.float64(0.3017391304347826), 'p_value': np.float64(0.15187145311574093)}"
MNG,"{'correlation': np.float64(0.3429059829059829), 'p_value': np.float64(0.08635810840449296)}","{'correlation': np.float64(0.7593162393162393), 'p_value': np.float64(6.8678491513747475e-06)}","{'correlation': np.float64(-0.027692307692307693), 'p_value': np.float64(0.8931776409313733)}"
MOZ,"{'correlation': np.float64(0.39487179487179486), 'p_value': np.float64(0.0458897104380586)}","{'correlation': np.float64(0.5436826887462046), 'p_value': np.float64(0.004094850523972932)}","{'correlation': np.float64(0.23145299145299145), 'p_value': np.float64(0.25525699744153757)}"
MRT,"{'correlation': np.float64(0.348051948051948), 'p_value': np.float64(0.12207717550592738)}","{'correlation': np.float64(0.38051948051948054), 'p_value': np.float64(0.08881428785517553)}","{'correlation': np.float64(-0.2571428571428571), 'p_value': np.float64(0.26047318970040845)}"
MSR,"{'correlation': np.float64(0.3107142857142856), 'p_value': np.float64(0.2596673973372179)}","{'correlation': np.float64(0.39642857142857135), 'p_value': np.float64(0.1434945314423536)}","{'correlation': np.float64(0.27499999999999997), 'p_value': np.float64(0.3212111733193767)}"
MTQ,"{'correlation': np.float64(0.4895104895104896), 'p_value': np.float64(0.106252371759346)}","{'correlation': np.float64(0.43356643356643365), 'p_value': np.float64(0.1591057694121953)}","{'correlation': np.float64(0.5104895104895105), 'p_value': np.float64(0.08991373630263913)}"
MUS,"{'correlation': np.float64(0.5977753058954393), 'p_value': np.float64(0.00048596532701412405)}","{'correlation': np.float64(0.696551724137931), 'p_value': np.float64(1.9071842114998452e-05)}","{'correlation': np.float64(0.32146829810900995), 'p_value': np.float64(0.0832281590244245)}"
MWI,"{'correlation': np.float64(0.6642857142857141), 'p_value': np.float64(0.006910682984519185)}","{'correlation': np.float64(0.7249999999999999), 'p_value': np.float64(0.0022270323137542148)}","{'correlation': np.float64(0.48571428571428565), 'p_value': np.float64(0.06642631232518958)}"
MYS,"{'correlation': np.float64(0.600963131393779), 'p_value': np.float64(6.617004598289822e-05)}","{'correlation': np.float64(0.7485221178413084), 'p_value': np.float64(6.532446603132478e-08)}","{'correlation': np.float64(0.11634015819915988), 'p_value': np.float64(0.4866922536687762)}"
MYT,"{'correlation': np.float64(0.5249999999999999), 'p_value': np.float64(0.04448390580010643)}","{'correlation': np.float64(0.5665775274016841), 'p_value': np.float64(0.027655274355857077)}","{'correlation': np.float64(0.5535714285714285), 'p_value': np.float64(0.03228710377012365)}"
NAM,"{'correlation': np.float64(0.5075611789257767), 'p_value': np.float64(0.003024282319762077)}","{'correlation': np.float64(0.7788779401571597), 'p_value': np.float64(1.518961833239212e-07)}","{'correlation': np.float64(0.2905324913677704), 'p_value': np.float64(0.10671722216996139)}"
NCL,"{'correlation': np.float64(0.6064935064935064), 'p_value': np.float64(0.003559301989284217)}","{'correlation': np.float64(0.8792207792207792), 'p_value': np.float64(1.5437493068884633e-07)}","{'correlation': np.float64(0.41818181818181815), 'p_value': np.float64(0.05922578935165214)}"
NER,"{'correlation': np.float64(0.36507936507936506), 'p_value': np.float64(0.06114223846264219)}","{'correlation': np.float64(0.44909174695108833), 'p_value': np.float64(0.018780022249686928)}","{'correlation': np.float64(0.0018315018315018313), 'p_value': np.float64(0.9927661408258597)}"
NFK,"{'correlation': np.float64(0.8999999999999998), 'p_value': np.float64(0.03738607346849874)}","{'correlation': np.float64(0.8999999999999998), 'p_value': np.float64(0.03738607346849874)}","{'correlation': np.float64(0.3), 'p_value': np.float64(0.6238376647810728)}"
NGA,"{'correlation': np.float64(0.5262434120331962), 'p_value': np.float64(0.0013895581010588043)}","{'correlation': np.float64(0.5451627948402895), 'p_value': np.float64(0.0008557723882220622)}","{'correlation': np.float64(0.444953779280101), 'p_value': np.float64(0.008369576914022507)}"
NIC,"{'correlation': np.float64(0.6415543973420798), 'p_value': np.float64(7.585897215023978e-05)}","{'correlation': np.float64(0.7233538174214597), 'p_value': np.float64(2.905779390806634e-06)}","{'correlation': np.float64(0.4809824967501763), 'p_value': np.float64(0.005324480568754078)}"
NIU,"{'correlation': np.float64(0.8095238095238096), 'p_value': np.float64(0.014902667686230067)}","{'correlation': np.float64(0.7619047619047621), 'p_value': np.float64(0.028004939153071794)}","{'correlation': np.float64(0.7380952380952381), 'p_value': np.float64(0.03655276105286081)}"
NLD,"{'correlation': np.float64(0.5316776103851449), 'p_value': np.float64(0.0003472299885477423)}","{'correlation': np.float64(0.6397561280578994), 'p_value': np.float64(6.6873931583929704e-06)}","{'correlation': np.float64(0.29446625889057615), 'p_value': np.float64(0.06164098872857828)}"
NOR,"{'correlation': np.float64(0.48547037359387035), 'p_value': np.float64(0.0023210402210432986)}","{'correlation': np.float64(0.5426066009774714), 'p_value': np.float64(0.000521331333964368)}","{'correlation': np.float64(0.18681061285373707), 'p_value': np.float64(0.2682488792450828)}"
NPL,"{'correlation': np.float64(0.7312820512820513), 'p_value': np.float64(2.196084084782418e-05)}","{'correlation': np.float64(0.9097435897435897), 'p_value': np.float64(1.2089632992094056e-10)}","{'correlation': np.float64(0.6054700854700855), 'p_value': np.float64(0.0010471916713445095)}"
NRU,"{'correlation': np.float64(0.37894736842105264), 'p_value': np.float64(0.10959964442893559)}","{'correlation': np.float64(0.4280701754385965), 'p_value': np.float64(0.0674881686246779)}","{'correlation': np.float64(0.15263157894736842), 'p_value': np.float64(0.5327517272519824)}"
NZL,"{'correlation': np.float64(0.6453909440799345), 'p_value': np.float64(1.214738983916504e-05)}","{'correlation': np.float64(0.639172253344307), 'p_value': np.float64(1.5650511053836278e-05)}","{'correlation': np.float64(0.397087863304143), 'p_value': np.float64(0.013568691413375007)}"
OMN,"{'correlation': np.float64(0.4794437026672241), 'p_value': np.float64(0.004117190019349599)}","{'correlation': np.float64(0.5819573566214035), 'p_value': np.float64(0.0003058412920707997)}","{'correlation': np.float64(0.34250345479032485), 'p_value': np.float64(0.04738396408291329)}"
PAK,"{'correlation': np.float64(0.6711885134536981), 'p_value': np.float64(2.9164215507129406e-06)}","{'correlation': np.float64(0.7562532614969795), 'p_value': np.float64(2.5791749164924117e-08)}","{'correlation': np.float64(0.5241951919552411), 'p_value': np.float64(0.000614295289795531)}"
PAN,"{'correlation': np.float64(0.6108131918245638), 'p_value': np.float64(4.6452172378387235e-05)}","{'correlation': np.float64(0.6775116344360821), 'p_value': np.float64(2.981864303792158e-06)}","{'correlation': np.float64(0.4035241423144897), 'p_value': np.float64(0.011996661996593558)}"
PCN,"{'correlation': nan, 'p_value': nan}","{'correlation': nan, 'p_value': nan}","{'correlation': nan, 'p_value': nan}"
PER,"{'correlation': np.float64(0.6334116136172719), 'p_value': np.float64(1.1501259779888689e-05)}","{'correlation': np.float64(0.6988029179638056), 'p_value': np.float64(5.308519518655246e-07)}","{'correlation': np.float64(0.4244955887377272), 'p_value': np.float64(0.006332365887753033)}"
PHL,"{'correlation': np.float64(0.6955237115293144), 'p_value': np.float64(1.2543432470976113e-06)}","{'correlation': np.float64(0.8420189568988594), 'p_value': np.float64(3.475822075216499e-11)}","{'correlation': np.float64(0.23432199313678395), 'p_value': np.float64(0.1567732378067642)}"
PLW,"{'correlation': np.float64(0.28571428571428575), 'p_value': np.float64(0.5345092286010406)}","{'correlation': np.float64(0.28571428571428575), 'p_value': np.float64(0.5345092286010406)}","{'correlation': np.float64(0.4642857142857144), 'p_value': np.float64(0.2939341076002517)}"
PNG,"{'correlation': np.float64(0.5578947368421052), 'p_value': np.float64(0.013059921195492317)}","{'correlation': np.float64(0.5789473684210525), 'p_value': np.float64(0.009396104149244383)}","{'correlation': np.float64(0.2631578947368421), 'p_value': np.float64(0.2763588931314962)}"
POL,"{'correlation': np.float64(0.5955889909638773), 'p_value': np.float64(5.0281718224609955e-05)}","{'correlation': np.float64(0.6289204650402714), 'p_value': np.float64(1.3844006959065448e-05)}","{'correlation': np.float64(0.3279211998783151), 'p_value': np.float64(0.03885709084857352)}"
PRT,"{'correlation': np.float64(0.682965818979536), 'p_value': np.float64(1.2010621605485104e-06)}","{'correlation': np.float64(0.7793430665622951), 'p_value': np.float64(3.135178016322175e-09)}","{'correlation': np.float64(0.4903801572307373), 'p_value': np.float64(0.001316834868152323)}"
PRY,"{'correlation': np.float64(0.47338709677419355), 'p_value': np.float64(0.007149697852314932)}","{'correlation': np.float64(0.6236386146770134), 'p_value': np.float64(0.0001780611149399646)}","{'correlation': np.float64(0.34314516129032263), 'p_value': np.float64(0.05877452025163122)}"
PYF,"{'correlation': np.float64(0.2359945074052966), 'p_value': np.float64(0.23599054918173593)}","{'correlation': np.float64(0.47778965600166773), 'p_value': np.float64(0.01171844300817952)}","{'correlation': np.float64(-0.035109144051240763), 'p_value': np.float64(0.8619807939037886)}"
QAT,"{'correlation': np.float64(0.3197438132394486), 'p_value': np.float64(0.09086572280528121)}","{'correlation': np.float64(0.5229177569546392), 'p_value': np.float64(0.0036088010058572826)}","{'correlation': np.float64(0.2689986471937426), 'p_value': np.float64(0.1582308419256081)}"
REU,"{'correlation': np.float64(0.40343355222364174), 'p_value': np.float64(0.1083133225569783)}","{'correlation': np.float64(0.7099940022416067), 'p_value': np.float64(0.0014073640168974744)}","{'correlation': np.float64(0.10177806940596434), 'p_value': np.float64(0.6975057342204392)}"
ROU,"{'correlation': np.float64(0.5351285795047133), 'p_value': np.float64(0.00044806602023860235)}","{'correlation': np.float64(0.6934684433223506), 'p_value': np.float64(9.87930131322239e-07)}","{'correlation': np.float64(0.21563069889236455), 'p_value': np.float64(0.18737900653576245)}"
RUS,"{'correlation': np.float64(0.2651222651222651), 'p_value': np.float64(0.11812158182510558)}","{'correlation': np.float64(0.607374993213435), 'p_value': np.float64(8.559566336904356e-05)}","{'correlation': np.float64(0.07747747747747748), 'p_value': np.float64(0.6533341602671354)}"
RWA,"{'correlation': np.float64(0.5211744776962168), 'p_value': np.float64(0.012873149549987785)}","{'correlation': np.float64(0.6070016939582158), 'p_value': np.float64(0.002739216116822331)}","{'correlation': np.float64(0.2173913043478261), 'p_value': np.float64(0.3311374194883423)}"
SAU,"{'correlation': np.float64(0.2759111371778759), 'p_value': np.float64(0.09359365204341608)}","{'correlation': np.float64(0.48450023591120306), 'p_value': np.float64(0.0020529290425360023)}","{'correlation': np.float64(0.19995622674493427), 'p_value': np.float64(0.22872921665826365)}"
SDN,"{'correlation': nan, 'p_value': nan}","{'correlation': nan, 'p_value': nan}","{'correlation': nan, 'p_value': nan}"
SEN,"{'correlation': np.float64(0.674303309564475), 'p_value': np.float64(0.00015848137316243355)}","{'correlation': np.float64(0.8062916855745601), 'p_value': np.float64(6.598656292657305e-07)}","{'correlation': np.float64(0.4684561531964153), 'p_value': np.float64(0.015789357679457366)}"
SGP,"{'correlation': np.float64(0.5272322440523167), 'p_value': np.float64(0.0005633456609569231)}","{'correlation': np.float64(0.6965064183953166), 'p_value': np.float64(8.4602369758532e-07)}","{'correlation': np.float64(0.12937841933541872), 'p_value': np.float64(0.43246060861310687)}"
SHN,"{'correlation': np.float64(0.02857142857142857), 'p_value': np.float64(0.9227613765698746)}","{'correlation': np.float64(0.3758241758241759), 'p_value': np.float64(0.185410028697123)}","{'correlation': np.float64(-0.2923076923076923), 'p_value': np.float64(0.3105263203858819)}"
SJM,"{'correlation': np.float64(-0.09999999999999999), 'p_value': np.float64(0.8728885715695383)}","{'correlation': np.float64(0.3), 'p_value': np.float64(0.6238376647810728)}","{'correlation': np.float64(-0.6), 'p_value': np.float64(0.28475697986529375)}"
SLB,"{'correlation': np.float64(0.8601398601398602), 'p_value': np.float64(0.0003316683391269209)}","{'correlation': np.float64(0.8671328671328673), 'p_value': np.float64(0.00025981184986148103)}","{'correlation': np.float64(0.4265734265734266), 'p_value': np.float64(0.16669998762494495)}"
SLE,"{'correlation': np.float64(0.31330645161290327), 'p_value': np.float64(0.08611735202782235)}","{'correlation': np.float64(0.5720048872005208), 'p_value': np.float64(0.0007739960228693299)}","{'correlation': np.float64(0.10040322580645164), 'p_value': np.float64(0.5909843569018906)}"
SLV,"{'correlation': np.float64(0.6779701400012716), 'p_value': np.float64(4.023544840097649e-06)}","{'correlation': np.float64(0.7379544717580745), 'p_value': np.float64(1.8693845592059523e-07)}","{'correlation': np.float64(0.5527626430020861), 'p_value': np.float64(0.00038852472475107427)}"
SMR,"{'correlation': np.float64(0.6321739130434781), 'p_value': np.float64(0.0009191401974675445)}","{'correlation': np.float64(0.6318765098276068), 'p_value': np.float64(0.0009258546940376667)}","{'correlation': np.float64(0.37652173913043474), 'p_value': np.float64(0.06975342004393108)}"
SOM,"{'correlation': np.float64(0.7132352941176472), 'p_value': np.float64(0.0013072517803378431)}","{'correlation': np.float64(0.752450980392157), 'p_value': np.float64(0.0004921108243565306)}","{'correlation': np.float64(0.411764705882353), 'p_value': np.float64(0.10054017943009602)}"
SRB,"{'correlation': np.float64(0.6687588717760378), 'p_value': np.float64(3.2638320389930546e-06)}","{'correlation': np.float64(0.7627342749859732), 'p_value': np.float64(1.6639963555625122e-08)}","{'correlation': np.float64(0.4583923965186041), 'p_value': np.float64(0.003338272922781593)}"
SSD,"{'correlation': np.float64(0.08571428571428573), 'p_value': np.float64(0.8717434402332361)}","{'correlation': np.float64(0.08571428571428573), 'p_value': np.float64(0.8717434402332361)}","{'correlation': np.float64(-0.7714285714285715), 'p_value': np.float64(0.07239650145772594)}"
STP,"{'correlation': np.float64(0.16666666666666669), 'p_value': np.float64(0.5226031535880373)}","{'correlation': np.float64(0.24019607843137256), 'p_value': np.float64(0.3530886590520008)}","{'correlation': np.float64(-0.28186274509803927), 'p_value': np.float64(0.27305989737995473)}"
SUR,"{'correlation': np.float64(0.4909090909090909), 'p_value': np.float64(0.023839688371382985)}","{'correlation': np.float64(0.7207792207792209), 'p_value': np.float64(0.00022773372444622483)}","{'correlation': np.float64(0.16103896103896104), 'p_value': np.float64(0.48557914428522886)}"
SVK,"{'correlation': np.float64(0.5256648916562229), 'p_value': np.float64(0.0007010064613501929)}","{'correlation': np.float64(0.6602803704403877), 'p_value': np.float64(6.467422286401958e-06)}","{'correlation': np.float64(0.13385137674277758), 'p_value': np.float64(0.4230349679099885)}"
SVN,"{'correlation': np.float64(0.5361631642332547), 'p_value': np.float64(0.0006252536423972761)}","{'correlation': np.float64(0.5910331960953471), 'p_value': np.float64(0.00011732630898770414)}","{'correlation': np.float64(0.3485890541454597), 'p_value': np.float64(0.03447805642802351)}"
SWE,"{'correlation': np.float64(0.3705303082769284), 'p_value': np.float64(0.018593025828665625)}","{'correlation': np.float64(0.4413147485352755), 'p_value': np.float64(0.00436427639793251)}","{'correlation': np.float64(0.11975599629213794), 'p_value': np.float64(0.46170557495205355)}"
SWZ,"{'correlation': np.float64(0.4981684981684982), 'p_value': np.float64(0.00818107507955088)}","{'correlation': np.float64(0.6377652341134082), 'p_value': np.float64(0.00034547988471538975)}","{'correlation': np.float64(0.22039072039072038), 'p_value': np.float64(0.26931261563477565)}"
SXM,"{'correlation': np.float64(0.4464285714285714), 'p_value': np.float64(0.09529321315352625)}","{'correlation': np.float64(0.4678571428571427), 'p_value': np.float64(0.0786302311543806)}","{'correlation': np.float64(0.25357142857142856), 'p_value': np.float64(0.3618161038158896)}"
SYC,"{'correlation': np.float64(0.20129870129870128), 'p_value': np.float64(0.3815806896030638)}","{'correlation': np.float64(0.3025974025974026), 'p_value': np.float64(0.18244109138130263)}","{'correlation': np.float64(-0.23376623376623373), 'p_value': np.float64(0.3077875466640501)}"
SYR,"{'correlation': np.float64(0.5252837977296182), 'p_value': np.float64(0.02518359155961345)}","{'correlation': np.float64(0.48813209494324045), 'p_value': np.float64(0.03985953090099972)}","{'correlation': np.float64(0.4117647058823529), 'p_value': np.float64(0.08953914742899156)}"
TCA,"{'correlation': np.float64(0.3498452012383901), 'p_value': np.float64(0.1546923218138582)}","{'correlation': np.float64(0.4262125902992776), 'p_value': np.float64(0.07778293683965698)}","{'correlation': np.float64(0.08978328173374613), 'p_value': np.float64(0.7231227825767574)}"
TCD,"{'correlation': np.float64(0.38333333333333336), 'p_value': np.float64(0.30849527238037144)}","{'correlation': np.float64(0.6166666666666666), 'p_value': np.float64(0.07692880993776309)}","{'correlation': np.float64(-0.16666666666666669), 'p_value': np.float64(0.668231040071504)}"
TGO,"{'correlation': np.float64(0.7735294117647058), 'p_value': np.float64(0.0004393556517117217)}","{'correlation': np.float64(0.7617647058823529), 'p_value': np.float64(0.000605342838070589)}","{'correlation': np.float64(0.6529411764705881), 'p_value': np.float64(0.006102046679077)}"
THA,"{'correlation': np.float64(0.5816049443749051), 'p_value': np.float64(8.28638554474926e-05)}","{'correlation': np.float64(0.7000942053359606), 'p_value': np.float64(4.955215933410286e-07)}","{'correlation': np.float64(0.16095731476568698), 'p_value': np.float64(0.32110393684896227)}"
TJK,"{'correlation': np.float64(0.4769230769230769), 'p_value': np.float64(0.0846484341946868)}","{'correlation': np.float64(0.4153846153846154), 'p_value': np.float64(0.1396659475175257)}","{'correlation': np.float64(0.3098901098901099), 'p_value': np.float64(0.2809332808692584)}"
TKL,"{'correlation': nan, 'p_value': nan}","{'correlation': nan, 'p_value': nan}","{'correlation': nan, 'p_value': nan}"
TKM,"{'correlation': np.float64(0.35664335664335667), 'p_value': np.float64(0.25513775175895725)}","{'correlation': np.float64(0.5244755244755246), 'p_value': np.float64(0.08001937592027475)}","{'correlation': np.float64(0.02097902097902098), 'p_value': np.float64(0.9484022252365223)}"
TLS,"{'correlation': np.float64(0.7999999999999999), 'p_value': np.float64(0.0003422698330356917)}","{'correlation': np.float64(0.7428571428571428), 'p_value': np.float64(0.00150948887823503)}","{'correlation': np.float64(0.47142857142857136), 'p_value': np.float64(0.07607042915033121)}"
TON,"{'correlation': np.float64(0.5744360902255639), 'p_value': np.float64(0.008072760656054091)}","{'correlation': np.float64(0.7744360902255639), 'p_value': np.float64(6.119579516446196e-05)}","{'correlation': np.float64(0.09022556390977443), 'p_value': np.float64(0.7052130308607131)}"
TTO,"{'correlation': np.float64(0.32782032373693987), 'p_value': np.float64(0.050959440758123586)}","{'correlation': np.float64(0.6672248646607035), 'p_value': np.float64(8.815194596805052e-06)}","{'correlation': np.float64(0.23746701896138755), 'p_value': np.float64(0.1631487664449775)}"
TUN,"{'correlation': np.float64(0.5164227199442044), 'p_value': np.float64(0.0014936997036813918)}","{'correlation': np.float64(0.7142258235839866), 'p_value': np.float64(1.4482009653362142e-06)}","{'correlation': np.float64(0.2502976405045547), 'p_value': np.float64(0.14700203497949774)}"
TUR,"{'correlation': np.float64(0.46962967421169416), 'p_value': np.float64(0.0019495793000443463)}","{'correlation': np.float64(0.5468179933468444), 'p_value': np.float64(0.00021629272558792469)}","{'correlation': np.float64(0.29777780604590076), 'p_value': np.float64(0.05863913799709863)}"
TUV,"{'correlation': np.float64(0.6904761904761906), 'p_value': np.float64(0.057990318164572716)}","{'correlation': np.float64(0.7380952380952381), 'p_value': np.float64(0.03655276105286081)}","{'correlation': np.float64(0.5952380952380953), 'p_value': np.float64(0.11952980613879259)}"
TWN,"{'correlation': np.float64(0.5874238093985042), 'p_value': np.float64(6.749965269213829e-05)}","{'correlation': np.float64(0.7111740224268461), 'p_value': np.float64(2.7029445719456023e-07)}","{'correlation': np.float64(0.25180669126317096), 'p_value': np.float64(0.11701148513613997)}"
TZA,"{'correlation': np.float64(0.7087179487179487), 'p_value': np.float64(5.0739550190151186e-05)}","{'correlation': np.float64(0.7994529096154882), 'p_value': np.float64(9.633845392604117e-07)}","{'correlation': np.float64(0.524102564102564), 'p_value': np.float64(0.005991185761768399)}"
UGA,"{'correlation': np.float64(0.4231583075006973), 'p_value': np.float64(0.035061789662847474)}","{'correlation': np.float64(0.6466514618195549), 'p_value': np.float64(0.0004778463427179969)}","{'correlation': np.float64(0.22004231990036258), 'p_value': np.float64(0.2905535748352637)}"
UKR,"{'correlation': np.float64(0.6300870750732757), 'p_value': np.float64(1.720539970111597e-05)}","{'correlation': np.float64(0.7896709872996043), 'p_value': np.float64(2.295649147431519e-09)}","{'correlation': np.float64(0.3666734231869223), 'p_value': np.float64(0.02167636760909598)}"
